ACL/*/read,ACL/as6iic7p4c/read,ACL/as6iic7p4c/write,DataRate,DeviceDistance,DownloadTime,EndTime,FileSize,StartTime,createdAt,objectId,updatedAt
TRUE,TRUE,TRUE,40223.6083,5,12.826,1.43675E+12,515908,1.43675E+12,2015-07-13T00:13:16.962Z,YfrnoUSW8t,2015-07-13T00:13:26.030Z
TRUE,TRUE,TRUE,7551.389737,8,13.096,1.43674E+12,98893,1.43674E+12,2015-07-12T23:43:50.268Z,YofXIwwG2u,2015-07-12T23:43:59.438Z
TRUE,TRUE,TRUE,44513.20104,5,11.59,1.43675E+12,515908,1.43675E+12,2015-07-13T00:11:45.190Z,Zn9Q0utYnk,2015-07-13T00:11:54.735Z
TRUE,TRUE,TRUE,6925.280112,3,14.28,1.43674E+12,98893,1.43674E+12,2015-07-12T23:39:43.196Z,ZsM8U1bi4L,2015-07-12T23:39:50.092Z
TRUE,TRUE,TRUE,7036.644372,10,14.054,1.43674E+12,98893,1.43674E+12,2015-07-12T23:46:26.067Z,ZzZ0Usb5od,2015-07-12T23:46:33.098Z
TRUE,TRUE,TRUE,23930.05241,8,21.559,1.43675E+12,515908,1.43675E+12,2015-07-13T00:16:00.431Z,aNXdHDORid,2015-07-13T00:16:12.592Z
TRUE,TRUE,TRUE,2014.872161,8,9.817,1.43674E+12,19780,1.43674E+12,2015-07-12T23:18:04.620Z,aP8vxCNOmJ,2015-07-12T23:18:09.820Z
TRUE,TRUE,TRUE,20190.51346,14,25.552,1.43675E+12,515908,1.43675E+12,2015-07-13T00:32:03.873Z,aVHy2NDfyA,2015-07-13T00:32:07.844Z
TRUE,TRUE,TRUE,13912.91503,10,7.108,1.43674E+12,98893,1.43674E+12,2015-07-12T23:47:05.061Z,atwhyKnJon,2015-07-12T23:47:10.372Z
TRUE,TRUE,TRUE,10185.70399,8,9.709,1.43674E+12,98893,1.43674E+12,2015-07-12T23:43:24.382Z,aySM3qQ2PG,2015-07-12T23:43:30.873Z
TRUE,TRUE,TRUE,1777.019136,5,11.131,1.43674E+12,19780,1.43674E+12,2015-07-12T23:13:52.664Z,bAGgkeyXPc,2015-07-12T23:14:00.166Z
TRUE,TRUE,TRUE,2114.829466,15,9.353,1.43674E+12,19780,1.43674E+12,2015-07-12T23:27:41.870Z,cIXhY56Jkt,2015-07-12T23:27:47.637Z
TRUE,TRUE,TRUE,720.8192121,1,27.441,1.43674E+12,19780,1.43674E+12,2015-07-12T22:56:49.648Z,cPOymvpIs5,2015-07-12T22:57:14.994Z
TRUE,TRUE,TRUE,8501.074529,5,11.633,1.43674E+12,98893,1.43674E+12,2015-07-12T23:42:12.619Z,cTm3DrGNd1,2015-07-12T23:42:21.856Z
TRUE,TRUE,TRUE,22095.5073,10,23.349,1.43675E+12,515908,1.43675E+12,2015-07-13T00:19:44.717Z,cbpjVaqNPs,2015-07-13T00:19:52.467Z
TRUE,TRUE,TRUE,1538.940325,10,12.853,1.43674E+12,19780,1.43674E+12,2015-07-12T23:22:35.118Z,ch0KZwNcxP,2015-07-12T23:22:40.146Z
TRUE,TRUE,TRUE,37452.48639,15,13.775,1.43675E+12,515908,1.43675E+12,2015-07-13T00:24:35.219Z,d5Vq5CgQYn,2015-07-13T00:24:41.581Z
TRUE,TRUE,TRUE,35005.29244,8,14.738,1.43675E+12,515908,1.43675E+12,2015-07-13T00:15:24.258Z,d86psdHwNm,2015-07-13T00:15:33.924Z
